Temp,Freq_T,Freq_M
99.3,6560759.44140625,5982640.5810546875
95.4,6561045.6220703125,5982646.0283203125
90.2,6561432.1552734375,5982653.431640625
85.2,6561815.1904296875,5982659.953125
73.2,6562801.0751953125,5982672.765625
69.4,6563174.66015625,5982674.2978515625
63.5,6563755.2646484375,5982676.291015625
60,6564084.2412109375,5982676.3349609375
57.3,6564420.150390625,5982675.71875
54,6564840.6904296875,5982673.984375
50.9,6565222.091796875,5982671.537109375
46.4,6565816.2744140625,5982666.3046875
38.9,6566882.091796875,5982652.259765625
35.8,6567371.951171875,5982643.953125
33.3,6567763.0537109375,5982636.384765625
31.2,6568038.9345703125,5982630.5185546875
29,6568438.947265625,5982621.2900390625
26.1,6568878.5205078125,5982609.8388671875
25.5,6568985.0966796875,5982606.697265625
